Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.08333,135,360.00001,4.88752546e-37,0.0114291813
0.08333,149.999997,0,3.2344433e-36,0.0056789224
0.08333,149.999997,15.0000004,8.01226168e-15,0.0056789224
0.08333,149.999997,30.0000008,3.97850494e-14,0.00567891588
0.08333,149.999997,45.0000013,9.5272992e-14,0.00567889865
0.08333,149.999997,60.0000017,1.14853724e-13,0.00567887025
0.08333,149.999997,74.9999987,5.13535341e-14,0.00567884371
0.08333,149.999997,90.0000025,1.73200652e-27,0.00567883207
0.08333,149.999997,105,5.13535171e-14,0.00567884371
0.08333,149.999997,120.000003,1.14853737e-13,0.00567887025
0.08333,149.999997,135,9.5272992e-14,0.00567889865
0.08333,149.999997,149.999997,3.97850562e-14,0.00567891588
0.08333,149.999997,164.999994,8.0122693e-15,0.0056789224
0.08333,149.999997,180.000005,8.07850286e-28,0.0056789224
0.08333,149.999997,195.000002,8.01226507e-15,0.0056789224
0.08333,149.999997,209.999999,3.97850494e-14,0.00567891588
0.08333,149.999997,224.999996,9.5272992e-14,0.00567889865
0.08333,149.999997,240.000007,1.14853724e-13,0.00567887025
0.08333,149.999997,255.000004,5.13535036e-14,0.00567884371
0.08333,149.999997,270.000001,1.2890733e-28,0.00567883207
0.08333,149.999997,284.999998,5.13535103e-14,0.00567884371
0.08333,149.999997,299.999995,1.14853724e-13,0.00567887025
0.08333,149.999997,314.999992,9.52730326e-14,0.00567889865
0.08333,149.999997,329.999989,3.97850799e-14,0.00567891588
0.08333,149.999997,345.000013,8.01224728e-15,0.0056789224
0.08333,149.999997,360.00001,3.2344433e-36,0.0056789224
0.08333,164.999994,0,1.2308673e-36,0.00151473156
0.08333,164.999994,15.0000004,4.07554349e-15,0.00151473051
0.08333,164.999994,30.0000008,1.41821759e-14,0.00151472713
0.08333,164.999994,45.0000013,2.27937921e-14,0.00151472166
0.08333,164.999994,60.0000017,2.02877723e-14,0.00151471526
0.08333,164.999994,74.9999987,7.60061468e-15,0.00151471025
0.08333,164.999994,90.0000025,2.42078561e-28,0.00151470816
0.08333,164.999994,105,7.60061468e-15,0.00151471025
0.08333,164.999994,120.000003,2.02877757e-14,0.00151471526
0.08333,164.999994,135,2.27937921e-14,0.00151472166
0.08333,164.999994,149.999997,1.41821776e-14,0.00151472713
0.08333,164.999994,164.999994,4.07554561e-15,0.00151473051
0.08333,164.999994,180.000005,4.70924875e-28,0.00151473156
0.08333,164.999994,195.000002,4.07554477e-15,0.00151473051
0.08333,164.999994,209.999999,1.41821742e-14,0.00151472713
0.08333,164.999994,224.999996,2.27937921e-14,0.00151472166
0.08333,164.999994,240.000007,2.02877723e-14,0.00151471526
0.08333,164.999994,255.000004,7.60061214e-15,0.00151471025
0.08333,164.999994,270.000001,1.80303756e-29,0.00151470816
0.08333,164.999994,284.999998,7.60061214e-15,0.00151471025
0.08333,164.999994,299.999995,2.02877723e-14,0.00151471526
0.08333,164.999994,314.999992,2.27937972e-14,0.00151472166
0.08333,164.999994,329.999989,1.41821835e-14,0.00151472713
0.08333,164.999994,345.000013,4.0755363e-15,0.00151473051
0.08333,164.999994,360.00001,1.2308673e-36,0.00151473156
0.08333,180.000005,0,1.28927934e-36,1.72531228e-16
0.08333,180.000005,15.0000004,6.57517394e-28,1.72531056e-16
0.08333,180.000005,30.0000008,1.97311176e-27,1.72530566e-16
0.08333,180.000005,45.0000013,2.63070456e-27,1.72529918e-16
0.08333,180.000005,60.0000017,1.97314335e-27,1.72529269e-16
0.08333,180.000005,74.9999987,6.5761475e-28,1.72528779e-16
0.08333,180.000005,90.0000025,2.63636751e-34,1.72528607e-16
0.08333,180.000005,105,6.57799976e-28,1.72528779e-16
